
 new surface 

 point count 
11 11
 new vertices   
0.0 -1.5742378106e-15 66.6075277783
0.0 -1.5742378106e-15 68.8372523261
0.0 -1.5742378106e-15 73.2603696096
0.0 0.221622528239 79.7877548446
0.0 1.23179873084 86.2468020111
0.0 2.98259061435 92.7262287907
0.0 5.1567838741 99.25881756
0.0 7.36867453192 105.849192172
0.0 9.44766869414 112.458496894
0.0 10.9785398195 116.779422165
0.0 11.7975795234 118.912396948
1.35598826578 -7.2803387564e-16 66.6075277769
1.35598826578 -7.2803387564e-16 70.0068157776
1.27208802074 0.0996097350375 75.703084064
1.05922343581 0.647374047022 82.4066390604
0.924031151277 1.86566288169 88.7540462737
0.858228006345 3.62220815945 94.8615937319
0.85353084021 5.65010364509 100.81760181
0.923917654728 7.6722303944 106.627196032
1.08336645176 9.5190245054 112.273762126
1.2999306489 10.9644612658 116.516011682
1.44850158328 11.8030307038 118.912396948
3.9168062689 1.18170059323e-16 66.6075277754
3.9168062689 1.18170059323e-16 71.1763792291
3.70094949319 0.19975450344 78.1457985184
3.14926225128 1.07420159365 85.0255232762
2.78934117979 2.49901584365 91.2612905363
2.60427028283 4.25963118751 96.996958673
2.5771335645 6.14148155934 102.37638606
2.74858668962 7.97882945302 107.405199891
3.15928532304 9.60593736245 112.089027357
3.72444561033 10.9833556606 116.2526012
4.11283210177 11.8534446529 118.912396948
7.17375104689 0.354583054064 66.8282765913
7.17375104689 0.354583054064 71.3385266647
6.86493859278 0.570588195415 78.2227601688
6.06442342186 1.48155610801 85.0409263789
5.51575263375 2.91842899769 91.2515244239
5.20841957294 4.67150526379 96.9853462532
5.13191758393 6.53108330561 102.373183816
5.36005113423 8.33087531147 107.411577676
5.96662469133 9.90459346969 112.097068397
6.82007527849 11.2199067521 116.256239198
7.40826134549 12.0483262897 118.912396948
9.71560695685 1.41833221626 67.4905230388
9.71560695685 1.41833221626 71.8249689712
9.41626518126 1.67987907115 78.4536451203
8.62501465562 2.69716348402 85.0871356869
8.0473137322 4.17973559324 91.2222260868
7.69398182244 5.92029459486 96.9505089937
7.57583833779 7.71153968491 102.363577082
7.78993618706 9.36875370998 107.430711029
8.43332827902 10.7072195167 112.121191515
9.35945840779 11.7317223352 116.267153191
9.99957546544 12.3631945879 118.912396948
11.6267166895 3.08810020684 68.530051867
11.6267166895 3.08810020684 72.5885378854
11.4027221923 3.40495854928 78.8160654305
10.7968245438 4.53247823187 85.1596704782
10.3230985814 6.01388722502 91.1762364612
10.0090059968 7.66277716605 96.8958249169
9.88200848162 9.29273969228 102.348497383
10.0384684113 10.7140297722 107.460744671
10.5747481611 11.7369023743 112.159057595
11.363170596 12.4045885721 116.284284895
11.9095298109 12.797720149 118.912396948
12.9914229357 5.2607397461 69.8826478245
12.9914229357 5.2607397461 73.5820651438
12.8721025597 5.62315804843 79.2876331574
12.5456416778 6.79895486178 85.2540500306
12.2821812877 8.15183548779 91.1163964838
12.1015410615 9.5557309627 96.8246720454
12.023540671 10.8845723227 102.328876244
12.10587437 11.9882686217 107.499823321
12.4062364125 12.7167289134 112.20832752
12.8517874408 13.1242916251 116.306576027
13.160879731 13.351573574 118.912396948
13.8100513129 8.0449681244 71.6159938221
13.8100513129 8.0449681244 74.8552661224
13.7802340939 8.39747266785 79.8919452045
13.6986322454 9.4604108846 85.3749970277
13.6327300139 10.5341982742 91.0397118059
13.5875089439 11.5629309349 96.7334899416
13.56795058 12.4907049648 102.303731837
13.5885064895 13.2277703257 107.549902445
13.6636282395 13.6843769795 112.271466719
13.7750893206 13.9063738297 116.335142018
13.8524155117 14.0229115799 118.912396948
14.0829274386 11.5495026321 73.7977727701
14.0829274386 11.5495026321 76.4578561971
14.0829446053 11.7908975067 80.6525984753
14.0829624346 12.4806638112 85.5272341532
14.0829129226 13.1015934769 90.9431880789
14.0828315713 13.6481520326 96.6187181678
14.082753883 14.1148050069 102.272082335
14.082717196 14.4688349514 107.612937511
14.0827588485 14.6775244177 112.350940625
14.0828566139 14.7663775219 116.3710983
14.0829274386 14.8098908836 118.912396948
14.0829274386 14.2839189271 75.5001078193
14.0829274386 14.2839189271 77.6097677008
14.0829360219 14.3776650937 81.3240395317
14.0867933965 14.6386601509 86.3059068673
14.0782115229 14.8591683225 91.6248788648
14.0715813438 15.043167642 97.1166561063
14.0835555423 15.1946361427 102.615679188
14.0843138965 15.306444839 107.959657802
14.0828431435 15.3714647452 112.987924442
14.0828920263 15.3980691825 116.762000936
14.0829274386 15.4107984495 118.912396948
14.0829274386 15.7301060312 76.4004443941
14.0829274386 15.7301060312 78.1725843303
14.0829274386 15.7301060312 81.7158726273
14.0906243585 15.7301060312 87.0286188515
14.0735101233 15.7301060312 92.3420507345
14.0603311163 15.7301060312 97.6567829143
14.0843572015 15.7301060312 102.970910058
14.085910597 15.7301060312 108.28320708
14.0829274386 15.7301060312 113.595694506
14.0829274386 15.7301060312 117.139686429
14.0829274386 15.7301060312 118.912396948

 new uknot vector 
 0.0 0.0 0.0 0.125 0.25 0.375 0.5 0.625 0.75 0.875 1.0 1.0 1.0
 new vknot vector 
 0.0 0.0 0.0 0.125 0.25 0.375 0.5 0.625 0.75 0.875 1.0 1.0 1.0
 degree u 
3
 degree v 
3
 END of Surface 
