Bow	6	10	0.576	0.029	0.035	1
Bow	6	11	0.545	0.028	0.035	1
Bow	6	12	0.462	0.027	0.035	1
Bow	6	13	0.351	0.033	0.035	1
Bow	6	14	0.211	0.046	0.035	1
Bow	6	15	0.097	0.031	0.035	1
Bow	6	16	0.045	0.010	0.035	1
Bow	6	17	0.029	0.002	0.035	1
Bow	6	18	0.029	0.000	0.035	1
Bow	7	0	0.824	0.075	0.069	1
Bow	7	1	0.791	0.071	0.069	1
Bow	7	2	0.727	0.064	0.069	1
Bow	7	3	0.668	0.060	0.069	1
Bow	7	4	0.639	0.057	0.069	1
Bow	7	5	0.629	0.057	0.069	1
Bow	7	6	0.620	0.056	0.069	1
Bow	7	7	0.602	0.054	0.069	1
Bow	7	8	0.583	0.052	0.069	1
Bow	7	9	0.573	0.051	0.069	1
Bow	7	10	0.564	0.050	0.069	1
Bow	7	11	0.532	0.046	0.069	1
Bow	7	12	0.454	0.039	0.069	1
Bow	7	13	0.352	0.030	0.069	1
Bow	7	14	0.211	0.018	0.069	1
Bow	7	15	0.098	0.006	0.069	1
Bow	7	16	0.053	0.003	0.069	1
Bow	7	17	0.034	0.002	0.069	1
Bow	7	18	0.034	0.000	0.069	1
Bow	8	0	0.824	0.114	0.119	1
Bow	8	1	0.791	0.109	0.119	1
Bow	8	2	0.727	0.098	0.119	1
Bow	8	3	0.668	0.088	0.119	1
Bow	8	4	0.636	0.083	0.119	1
Bow	8	5	0.625	0.082	0.119	1
Bow	8	6	0.615	0.080	0.119	1
Bow	8	7	0.594	0.077	0.119	1
Bow	8	8	0.573	0.074	0.119	1
Bow	8	9	0.562	0.073	0.119	1
Bow	8	10	0.551	0.071	0.119	1
Bow	8	11	0.517	0.066	0.119	1
Bow	8	12	0.444	0.056	0.119	1
Bow	8	13	0.348	0.039	0.119	1
Bow	8	14	0.210	0.021	0.119	1
Bow	8	15	0.096	0.009	0.118	1
Bow	8	16	0.057	0.006	0.118	1
Bow	8	17	0.037	0.004	0.118	1
Bow	8	18	0.037	0.000	0.118	1
Bow	9	0	0.824	0.169	0.205	1
Bow	9	1	0.791	0.161	0.205	1
Bow	9	2	0.727	0.146	0.205	1
Bow	9	3	0.668	0.133	0.205	1
