
 new surface 

 point count 
19 35
 new vertices   
1.05202787849e-16 0.654196294482 0.233799531307
0.0 0.0 2.23307253157
0.0 0.0 3.34377975395
0.0 0.0 3.89913336513
0.0 0.0 4.45448697632
0.0 0.0 30.4446658471
0.0 0.0 32.4630514827
0.0 0.0 34.4666674733
0.0 0.0 36.457435869
0.0 0.0 38.4372787199
0.0 0.0 40.4081180761
0.0 0.0 42.3722491239
0.0 0.0 44.3319670498
0.0 0.0 46.2895670403
0.0 0.0 48.2473442819
0.0 0.0 50.2148563307
0.0 0.0 52.2016607431
0.0 0.0 54.2173150754
0.0 0.0 56.2713768838
0.0 0.00315352608967 58.387630778
0.0 0.0126141043587 60.5898613673
0.0 0.0315352608967 62.9018532615
0.0 0.0630705217935 65.34739107
0.0 0.189964722156 67.9692634207
0.0 0.494962697091 70.8102589414
0.0 1.06080928171 73.9131662601
0.0 1.97024931111 77.3207740045
0.0 3.19319897085 81.0710538697
0.0 4.69957444649 85.2019775509
0.0 6.45929192357 89.751516743
0.0 8.44226758764 94.7576431411
0.0 10.6303499868 100.228551244
0.0 13.0053876691 106.17243555
0.0 14.7012820115 110.455805556
0.0 15.5743379125 112.679051426
1.4724141148e-16 0.915610581751 0.149073172532
0.368611591015 0.545154907535 2.23307253157
0.368611591015 0.545154907535 3.34377975395
0.368611591015 0.545154907535 3.89913336513
0.368611591015 0.545154907535 4.45448697632
0.23762499863 0.076022632806 29.5670248184
0.282488972212 0.0501707578536 31.7059407477
0.324166925706 0.032024675175 33.8309026811
0.363426549865 0.0198875802307 35.940150171
0.401035535439 0.0120626684813 38.03192277
0.437761573182 0.00685313538725 40.1044600306
0.473403090761 0.00367962845735 42.1504626518
0.507758515848 0.0019627952003 44.1626313323
0.540626276113 0.00112328312482 46.1336667711
0.571804799224 0.000581739739615 48.056269667
0.59992610276 0.000269584768986 49.9558728631
0.623622204296 0.000118237937221 51.8579092022
0.64152512141 5.91189686106e-05 53.7878115275
0.652266871678 2.36475874443e-05 55.771012682
0.657637746812 0.00237105646412 57.7931719028
0.659428038524 0.00946057826902 59.8399484271
0.659428038524 0.0236514456726 61.8970014923
0.659428038524 0.0473028913451 63.9499903353
0.657616049561 0.170766769872 66.1553077671
0.652180082672 0.484394935839 68.6693465981
0.641308148894 1.07853924383 71.6484996393
0.623188259264 2.04355154843 75.2491597012
0.603310807188 3.3328046467 79.3958177863
0.58716618607 4.89967133567 84.0129648971
0.580244789316 6.69752441241 89.025092036
0.58803701033 8.67973667397 94.3566902055
0.612556869358 10.8438064485 100.041274595
0.655818386648 13.1872320643 106.112360395
0.698496517179 14.8674185878 110.439761995
0.723630532236 15.7365705991 112.679051426
2.33533487121e-16 1.45221191411 0.0349742604986
0.921537783135 1.63547543314 2.23307253157
0.921537783135 1.63547543314 3.34377975395
0.921537783135 1.63547543314 3.89913336513
0.921537783135 1.63547543314 4.45448697632
0.714059023101 0.213813927389 28.1345872134
0.848698023049 0.141105436379 30.4854064487
0.973497190754 0.0900695137722 32.8178598185
1.09058878012 0.055933890717 35.1249662391
1.20210504505 0.0339262983611 37.3997446269
1.31017823945 0.0192744678524 39.6352138982
1.4141348911 0.0103489682317 41.8106451503
1.5133015278 0.00552036853957 43.9053094807
1.60700467731 0.00315923781672 45.8984779868
1.69457086744 0.00163614510383 47.7694217659
1.77263679107 0.000758208129523 49.5676193294
1.83783914113 0.000332544622444 51.3425491885
1.88681461053 0.000166272311222 53.1436898545
1.91619989216 6.65089244888e-05 55.0205198387
1.93089253298 0.00119919951475 56.9014969549
1.93579007992 0.00473028913451 58.7150790168
1.93579007992 0.0118257228363 60.3897238384
1.93579007992 0.0236514456726 61.8538892333
1.93034045233 0.142591801589 63.4343742866
1.91399156955 0.471031134531 65.4579780832
1.88129380399 1.11135378844 68.2514997081
1.82679752805 2.16594410727 72.1417382463
1.76532145678 3.56223804595 76.8829636612
1.71168430522 5.22767155941 82.2294459165
1.6807047884 7.08968060258 87.9354549755
1.68720162138 9.0757011304 93.7552608019
1.73606739973 11.2065435427 99.7603596219
1.83219471906 13.5030182393 106.022247662
1.93104902299 15.1582964931 110.415696652
1.98998396365 16.0204778006 112.679051426
3.68209757472e-16 2.28968703069 0.0
1.19800468732 3.27098147238 2.23307253157
1.19800468732 3.27098147238 3.34377975395
1.19800468732 3.27098147238 3.89913336513
1.19800468732 3.27098147238 4.45448697632
1.42607108064 0.455488998324 26.7143956384
1.69274082361 0.324916438978 29.3168985709
1.93851541759 0.231438941654 31.8809204466
2.16730475541 0.166587543859 34.3964691102
2.3830187299 0.121893283099 36.8535524062
2.58956723389 0.0888871968797 39.2421781792
2.78554987045 0.0651334563865 41.5344167633
2.96956624266 0.0481962328049 43.7023384927
3.14021595358 0.0356396973204 45.7180137014
3.29609860629 0.0250280211182 47.5535127236
3.43254771125 0.0163558885827 49.2770383647
3.54489677893 0.00961798409824 50.9567934303
3.6284793198 0.00480899204912 52.6609807258
3.67862884432 0.00192359681965 54.4578030566
3.70370360658 0.000776542275819 56.2327789565
3.71206186066 0.00118257228363 57.8714269591
3.71206186066 0.00295643070907 59.259265598
3.71206186066 0.00591286141814 60.2818134068
3.70145007306 0.123289026628 61.3936741763
3.66961471023 0.468322088556 63.049451697
3.60594398459 1.15424920942 65.7037497597
3.49982610851 2.29430755143 69.8111721551
3.37575344027 3.79315077866 74.9983230674
3.25821833814 5.55543255514 80.891806681
3.17171316039 7.48580654493 87.1182271802
3.1407302653 9.48892641209 93.3041887493
3.17180304279 11.6025853461 99.5496733919
3.27146488278 13.8645765365 105.954663112
3.38798774439 15.496654294 110.397647645
3.45985848225 16.3500129453 112.679051426
5.02886027822e-16 3.12716214726 0.0349742604987
0.921537783135 4.90648751163 2.23307253157
0.921537783135 4.90648751163 3.34377975395
0.921537783135 4.90648751163 3.89913336513
0.921537783135 4.90648751163 4.45448697632
2.1292530982 0.809902240463 25.7826003718
2.52254875354 0.631765922743 28.5919163223
2.88259006205 0.499426244767 31.3337707533
3.21503859895 0.401596121753 33.9983671263
3.52555593943 0.326988468922 36.5759089028
3.81980365869 0.264316201494 39.0565995444
4.09582255099 0.211548652949 41.4139177787
4.35165341062 0.166655156767 43.6213423334
4.58533703184 0.127605046429 45.652351936
4.79491420891 0.0923676554137 47.4804253142
4.97557295845 0.0618346983929 49.1809158668
5.12250129706 0.0368978900376 50.8291769926
5.23088724135 0.0184489450188 52.5005620904
5.29591880793 0.00737957800753 54.270424559
5.32843459121 0.00184489450188 56.0099213979
5.33927318564 0.0 57.5902096066
5.33927318564 0.0 58.8824461845
5.33927318564 0.0 59.7577881313
5.324128816 0.11924279774 60.7134408062
5.27869570706 0.476971190961 62.2466095683
5.1878294892 1.1924279774 64.854499777
5.03638579276 2.38485595481 69.0343167914
4.85485033632 3.9469226363 74.3701095361
4.67370883845 5.771295535 80.4459269358
4.52344701775 7.75064216404 86.8458179151
4.43455059279 9.77763003654 93.1538313984
4.41328800588 11.8950269619 99.4794446485
4.46592769934 14.1456007497 105.932134928
4.55446797678 15.7632797228 110.391631309
4.61314464301 16.6085712895 112.679051426
5.89178103464e-16 3.66376347962 0.149073172532
0.368611591015 5.99680803726 2.23307253157
0.368611591015 5.99680803726 3.34377975395
0.368611591015 5.99680803726 3.89913336513
0.368611591015 5.99680803726 4.45448697632
2.81741401499 1.35480369595 25.099132889
3.32915771789 1.13728338403 28.0916917612
3.7937547125 0.966347128353 30.9835754949
4.21883554908 0.828730361735 33.7667766634
4.61203077788 0.711168516995 36.4332878401
4.98097094917 0.600397026952 38.9751015983
