HullBottom	1	1	73.561	1.114	2.786	1
HullBottom	1	2	67.469	3.135	1.401	1
HullBottom	1	3	55.889	5.050	0.290	1
HullBottom	1	4	48.277	5.279	0.138	1
HullBottom	1	5	40.557	5.447	0.034	1
HullBottom	1	6	32.796	5.528	0.005	1
HullBottom	1	7	25.073	5.510	0.067	1
HullBottom	1	8	17.281	5.261	0.530	1
HullBottom	1	9	11.610	4.311	1.010	1
HullBottom	1	10	5.676	1.931	1.549	1
HullBottom	1	11	3.841	1.022	1.859	1
HullBottom	1	12	1.939	0.000	2.134	1
HullBottom	2	0	74.131	0.790	2.003	1
HullBottom	2	1	73.539	1.000	2.000	1
HullBottom	2	2	67.541	2.839	0.660	1
HullBottom	2	3	55.942	4.333	0.000	1
HullBottom	2	4	48.316	4.656	0.000	1
HullBottom	2	5	40.507	4.773	0.000	1
HullBottom	2	6	32.839	4.850	0.000	1
HullBottom	2	7	25.186	4.884	0.000	1
HullBottom	2	8	17.289	4.447	0.070	1
HullBottom	2	9	11.659	3.385	0.340	1
HullBottom	2	10	5.689	1.390	0.820	1
HullBottom	2	11	3.889	0.814	0.930	1
HullBottom	2	12	1.989	0.000	0.970	1
HullBottom	3	0	73.943	0.852	0.526	1
HullBottom	3	1	73.359	0.850	0.350	1
HullBottom	3	2	67.513	1.926	0.000	1
HullBottom	3	3	55.903	2.958	0.000	1
HullBottom	3	4	48.298	3.355	0.000	1
HullBottom	3	5	40.567	3.529	0.000	1
HullBottom	3	6	32.929	3.494	0.000	1
HullBottom	3	7	25.189	3.450	0.000	1
HullBottom	3	8	17.329	3.236	0.000	1
HullBottom	3	9	11.689	2.412	0.000	1
HullBottom	3	10	5.669	0.675	0.190	1
HullBottom	3	11	3.949	0.337	0.210	1
HullBottom	3	12	2.650	0.000	0.210	1
HullBottom	4	0	73.903	0.233	0.000	1
HullBottom	4	1	73.379	0.238	0.000	1
HullBottom	4	2	67.549	0.953	0.000	1
HullBottom	4	3	55.950	1.717	0.000	1
HullBottom	4	4	48.288	2.104	0.000	1
HullBottom	4	5	40.567	2.462	0.000	1
HullBottom	4	6	32.949	2.353	0.000	1
HullBottom	4	7	25.189	2.100	0.000	1
HullBottom	4	8	17.639	1.650	0.000	1
HullBottom	4	9	11.719	1.132	0.000	1
HullBottom	4	10	5.689	0.179	0.000	1
HullBottom	4	11	3.939	0.099	0.000	1
HullBottom	4	12	3.286	0.000	0.000	1
HullBottom	5	0	73.897	0.000	0.000	1
HullBottom	5	1	73.380	0.000	0.000	1
HullBottom	5	2	67.594	0.000	0.000	1
HullBottom	5	3	56.205	0.000	0.000	1
HullBottom	5	4	48.408	0.000	0.000	1
HullBottom	5	5	40.688	0.000	0.000	1
HullBottom	5	6	33.083	0.000	0.000	1
HullBottom	5	7	25.420	0.000	0.000	1
HullBottom	5	8	17.623	0.000	0.000	1
HullBottom	5	9	11.865	0.000	0.000	1
HullBottom	5	10	5.659	0.000	0.000	1
HullBottom	5	11	3.949	0.000	0.000	1
HullBottom	5	12	3.891	0.000	0.000	1
AftBulb	0	0	76.435	0.000	2.001	1
AftBulb	0	1	75.786	0.000	2.204	1
AftBulb	0	2	75.578	0.005	2.546	1
AftBulb	0	3	75.584	0.000	2.940	1
AftBulb	1	0	76.435	0.100	2.000	1
AftBulb	1	1	75.783	0.060	2.201	1
AftBulb	1	2	75.577	0.050	2.550	1
AftBulb	1	3	75.584	0.000	2.940	1
AftBulb	2	0	76.435	0.250	1.850	1
