
 new surface 

 point count 
7 11
 new vertices   
7.44008141308e-16 4.62656341205 4.06614518692
0.525449773108 4.62656341205 4.06614518692
1.23834391881 4.18414789729 8.00576114485
1.98686157007 3.52751496453 14.1251674929
3.78912230038 3.12285158282 20.959339678
7.13921660236 3.03441942868 29.2211252858
10.4198168828 2.99837670806 37.3202719588
11.7436351193 2.96010273069 42.9763556902
11.6953535622 2.9189322689 47.0797885499
11.5817931589 2.84102493156 51.3936393625
11.5817931589 2.84102493156 54.5527564452
6.20006784423e-16 6.35764531568 3.38845432243
0.679009673331 6.35764531568 3.38845432243
1.60249880517 5.52283992178 7.55683888738
2.53737395349 4.28621657082 14.013604336
4.4440203689 3.5510446635 21.0311738663
7.79163419974 3.44986390303 29.2788918056
11.0501524365 3.45367423326 37.3323088768
12.3434774276 3.45194737465 42.9509697063
12.2569915075 3.44662349025 47.0213820473
12.1181008551 3.43615397063 51.2997180084
12.1181008551 3.43615397063 54.4328597529
4.96005427539e-16 8.08872721932 2.71076345795
1.13845955313 8.08872721932 2.71076345795
2.69281362985 7.04774159229 7.10710181338
4.17455500108 5.50763941238 13.9002704205
6.2534492404 4.61393114621 21.1035238641
9.26799604371 4.54104362712 29.3440445816
12.1429773911 4.60405548874 37.3545025992
13.2621179036 4.65908614969 42.9099116568
13.1465065328 4.7111470548 46.8996266304
12.9973268151 4.80884937447 51.0884873242
12.9973268151 4.80884937447 54.1563119326
3.72004070654e-16 9.81980912296 2.03307259346
2.00732721778 9.81980912296 2.03307259346
4.75561107181 8.96915777783 6.65598001004
7.25869335037 7.71259194419 13.7839272125
9.4957983968 7.00533756318 21.1767504475
11.4910498743 6.99908621754 29.4217498346
13.2602203163 7.10886641691 37.3939571705
13.9447974607 7.21104772918 42.8422199192
13.8659605405 7.31231869491 46.6702137265
13.7688929087 7.50296980873 50.6778968272
13.7688929087 7.50296980873 53.6135453934
2.48002713769e-16 11.5508910266 1.35538172897
2.77856754187 11.5508910266 1.35538172897
6.58702044041 11.3075579483 6.20410073546
9.9910907493 10.9482810035 13.6659378687
12.2956647264 10.7479835745 21.2504565387
13.2165485222 10.7508588565 29.5063215128
13.837012869 10.7873612 37.4428537291
14.0800464956 10.8215956302 42.7599590871
14.0570597935 10.8557023075 46.3819102879
14.0260816066 10.9199329229 50.1582530143
14.0260816066 10.9199329229 52.9251525435
1.24001356885e-16 13.2819729302 0.677690864487
3.25167180197 13.2819729302 0.677690864487
7.7106283947 13.3924058758 5.75299761497
11.6650930864 13.5556073788 13.5496352622
13.9810273686 13.6482791033 21.3236712952
14.1730572151 13.6510678195 29.583857407
14.0207371766 13.6389778337 37.4820754161
13.974559784 13.6278344047 42.6926266927
14.0031288849 13.6168653998 46.1539499045
14.0260816066 13.5962246207 49.7503522904
14.0260816066 13.5962246207 52.3859778414
0.0 15.0130548339 0.0
3.48396717746 15.0130548339 0.0
8.26233123835 15.0130548339 5.30321429183
12.4869197822 15.0130548339 13.4362008382
14.8068483721 15.0130548339 21.3960505704
14.6373255558 15.0130548339 29.6494294283
14.1022723621 15.0130548339 37.5048456406
13.9152284812 15.0130548339 42.6506790938
13.973557351 15.0130548339 46.0285987917
14.0260816066 15.0130548339 49.5324631072
14.0260816066 15.0130548339 52.1005384744

 new uknot vector 
 0.0 0.0 0.0 0.25 0.5 0.75 1.0 1.0 1.0
 new vknot vector 
 0.0 0.0 0.0 0.125 0.25 0.375 0.5 0.625 0.75 0.875 1.0 1.0 1.0
 degree u 
3
 degree v 
3
 END of Surface 
